unhealthy_ratio,good_day_ratio,pollution_severity_index,aqi_spread,pm_pollution_ratio
0.006557377049180328,0.43278688524590164,179,117,0.7901639344262295
0.0,0.717948717948718,77,48,1.0
0.0,0.9039301310043668,22,46,0.0
0.0,0.6237623762376238,125,92,0.504950495049505
0.0,0.8780487804878049,31,66,0.0
0.0,0.8925925925925926,30,68,0.0
0.0,0.6483516483516484,96,46,1.0
0.0,0.63003663003663,108,83,0.4139194139194139
0.0,0.7065637065637066,76,56,1.0
0.0,0.639344262295082,110,56,0.5344262295081967
0.0,0.62,115,63,0.6066666666666667
0.0,0.9391304347826087,14,50,0.0
0.0,0.8351648351648352,45,57,0.0
0.0,0.6573705179282868,88,70,1.0
0.003289473684210526,0.5657894736842105,135,110,1.0
0.0,0.8713692946058091,32,77,0.0
0.003289473684210526,0.5986842105263158,126,121,0.5460526315789473
0.0,0.8305084745762712,42,80,0.0
0.003289473684210526,0.7105263157894737,93,123,1.0
0.003289473684210526,0.6118421052631579,124,119,0.6118421052631579
0.0,0.6875,96,90,0.5625
0.0,0.6842105263157895,98,100,1.0
0.0,0.694078947368421,102,92,0.5098684210526315
0.0,0.5855263157894737,128,90,0.6710526315789473
0.0,0.7111111111111111,26,46,1.0
0.003278688524590164,0.5967213114754099,126,114,0.5377049180327869
0.0,0.6072607260726073,121,83,0.693069306930693
0.016260162601626018,0.5447154471544715,62,117,1.0
0.0,0.8075471698113208,54,83,0.19622641509433963
0.0,0.8888888888888888,2,34,1.0
0.0,0.9074074074074074,16,60,0.0
0.0,0.8944444444444445,20,89,1.0
0.0055248618784530384,0.7182320441988951,53,145,0.430939226519337
0.0,0.9388888888888889,11,61,0.0
0.0055248618784530384,0.7348066298342542,53,272,0.425414364640884
0.0055248618784530384,0.585635359116022,77,144,0.5138121546961326
0.0055248618784530384,0.6408839779005525,70,194,0.43646408839779005
0.0,0.8657718120805369,20,68,1.0
0.0055248618784530384,0.6740331491712708,65,327,0.7900552486187845
0.0,0.7722222222222223,41,50,0.29444444444444445
0.005952380952380952,0.6309523809523809,67,196,0.47023809523809523
0.0,0.6353591160220995,67,58,0.6408839779005525
0.0,0.9508196721311475,6,36,0.0
0.0,0.8279569892473119,32,49,0.532258064516129
0.0,0.9272727272727272,8,32,0.0
0.0,0.7853403141361257,41,38,0.5706806282722513
0.0,0.8978494623655914,19,46,0.510752688172043
0.0,0.7833333333333333,39,34,0.5888888888888889
0.0,0.7016574585635359,54,40,0.6298342541436464
0.0,0.9345794392523364,14,39,0.02336448598130841
0.0,0.7526881720430108,46,36,0.5645161290322581
0.0,0.9508196721311475,6,30,0.0
0.0,0.8278688524590164,21,27,0.0
0.0,0.7244094488188977,35,29,0.4094488188976378
0.0,0.5824175824175825,77,81,0.5769230769230769
0.0,0.7877094972067039,38,31,0.5139664804469274
0.0,0.9528301886792453,5,27,0.0
0.0,0.8176795580110497,33,43,0.5580110497237569
0.0,0.9662447257383966,8,42,0.0
0.0,0.9508196721311475,7,66,0.0
0.0055248618784530384,0.8453038674033149,30,134,0.5359116022099447
0.0,0.8674033149171271,24,41,0.5524861878453039
0.0,0.8397790055248618,29,32,0.5193370165745856
0.0,0.9256198347107438,9,35,0.0
0.0,0.8121546961325967,34,36,0.569060773480663
0.0,0.9243697478991597,18,46,0.0
0.0,0.9411764705882353,17,75,0.0
0.0,0.8644688644688645,38,61,0.23443223443223443
0.0,0.8432835820895522,42,42,0.1455223880597015
0.0,0.6153846153846154,107,61,0.6446886446886447
0.0,0.4927007299270073,140,64,0.6751824817518248
0.0,0.7838827838827839,60,64,0.11355311355311355
0.0,0.5860805860805861,114,53,0.5604395604395604
0.0,0.6148148148148148,104,32,0.6555555555555556
0.0,0.6190476190476191,104,31,0.7545787545787546
0.0,0.6199261992619927,103,39,0.6014760147601476
0.0,0.6642335766423357,92,27,0.9416058394160584
0.0,0.6102941176470589,106,25,0.6580882352941176
0.0,0.9267399267399268,20,58,0.0
0.0,0.7894736842105263,12,32,1.0
0.0,0.6959706959706959,83,48,0.47985347985347987
0.0,0.9250936329588015,20,50,0.0
0.0,0.9194139194139194,22,52,0.0
0.0,0.9188191881918819,22,41,0.0
0.0,0.8487084870848709,42,67,0.0
0.0,0.8225806451612904,11,25,1.0
0.0,0.7704918032786885,14,27,1.0
0.0,0.5054945054945055,136,62,0.7655677655677655
0.0,0.8552631578947368,46,77,0.42105263157894735
0.0,0.8406593406593407,31,95,0.44505494505494503
0.0,0.7401315789473685,84,97,0.4440789473684211
0.0,0.8914473684210527,37,96,0.09868421052631579
0.0,0.8355263157894737,50,60,0.42105263157894735
0.0,0.973421926910299,8,43,0.0
0.0,0.7401315789473685,82,96,0.6546052631578947
0.0,0.8613861386138614,44,81,0.33993399339933994
0.0,0.9539170506912442,11,73,0.0
0.0,0.8986013986013986,29,64,0.15384615384615385
0.003289473684210526,0.9605263157894737,16,133,0.0
0.0,0.8714859437751004,34,79,0.04417670682730924
0.0,0.7039473684210527,93,85,0.3026315789473684
0.0,0.6864686468646864,97,92,0.40594059405940597
0.0,0.9458333333333333,13,39,0.0
0.0,0.9033613445378151,23,52,0.0
0.0,0.8092105263157895,60,88,0.3092105263157895
0.0,0.923728813559322,18,59,0.0
0.0,0.8443708609271523,47,44,0.20198675496688742
0.0,0.8565400843881856,34,52,0.0
0.0,0.8448844884488449,47,39,0.29042904290429045
0.0,0.7458745874587459,80,100,0.3234323432343234
0.0,0.7700729927007299,63,42,0.8759124087591241
0.0,0.8327759197324415,51,89,0.3110367892976589
0.0,0.834983498349835,50,49,0.33003300330033003
0.0,0.8355263157894737,53,85,0.16447368421052633
0.0,0.7730263157894737,69,48,0.3519736842105263
0.0,0.9253112033195021,21,91,0.0
0.0,0.7160493827160493,73,83,0.3497942386831276
0.0,0.7777777777777778,57,78,0.19753086419753085
0.004761904761904762,0.9523809523809523,13,114,0.01904761904761905
0.0,0.7695473251028807,59,94,0.2551440329218107
0.0,0.7283950617283951,69,74,0.4074074074074074
0.0,0.7217741935483871,74,83,0.3467741935483871
0.0,0.8106995884773662,50,78,0.25102880658436216
0.0,0.7654320987654321,58,64,0.37037037037037035
0.0,0.7942386831275721,52,83,0.18930041152263374
0.0,0.8024691358024691,49,68,0.2839506172839506
0.0,0.7233201581027668,72,67,0.549407114624506
0.0,0.75,61,58,0.27459016393442626
0.0033112582781456954,0.7119205298013245,99,108,0.2913907284768212
0.0,0.7182320441988951,51,61,1.0
0.0,0.9112149532710281,19,45,0.0
0.0,0.8091603053435115,53,106,0.0
0.0,0.8526785714285714,35,75,0.0
0.0,0.9019607843137255,21,80,0.0
0.0,0.8316831683168316,54,88,0.2739273927392739
0.0,0.8962264150943396,24,70,0.0
0.0,0.8289473684210527,55,86,0.2631578947368421
0.0,0.7401315789473685,83,93,0.3980263157894737
0.0,0.5986842105263158,126,92,0.4868421052631579
0.0,1.0,0,20,1.0
0.0,0.7730263157894737,73,106,0.3815789473684211
0.0033003300330033004,0.7392739273927392,86,125,0.28052805280528054
0.003289473684210526,0.8453947368421053,49,118,0.3651315789473684
0.008130081300813009,0.8699186991869918,18,165,1.0
0.0,0.892018779342723,23,51,0.0
0.0,0.9078498293515358,27,56,0.15358361774744028
0.0,0.8353909465020576,42,101,0.0
0.003289473684210526,0.75,83,125,0.3125
0.0,0.7781456953642384,71,99,0.3741721854304636
0.0,0.8943894389438944,33,83,0.33663366336633666
0.0,0.7425742574257426,84,108,0.29372937293729373
0.0,0.9079497907949791,23,75,0.0
0.0033783783783783786,0.7601351351351351,78,111,0.1891891891891892
0.009868421052631578,0.46381578947368424,176,104,0.6348684210526315
0.0,0.9256198347107438,18,55,0.0
0.00558659217877095,0.8212290502793296,34,117,0.18994413407821228
0.0,0.8473282442748091,21,95,0.16793893129770993
0.0,0.8875739644970414,23,71,0.3609467455621302
0.0,0.8265895953757225,30,62,0.35260115606936415
0.0,0.9289940828402367,12,58,0.3136094674556213
0.0,0.9444444444444444,5,33,1.0
0.0,1.0,0,37,1.0
0.0,0.8659217877094972,25,67,0.3463687150837989
0.0,0.9340659340659341,12,59,0.42857142857142855
0.0,0.8429752066115702,19,56,0.0
0.005494505494505495,0.7802197802197802,42,116,0.4835164835164835
0.0,0.9567901234567902,10,95,0.3950617283950617
0.0,0.8453038674033149,29,103,0.35359116022099446
0.0,0.9159663865546218,10,62,0.0
0.0,0.83125,27,64,0.29375
0.008264462809917356,0.7603305785123967,31,124,1.0
0.0,0.905829596412556,22,70,0.09865470852017937
0.0,0.8705882352941177,22,48,0.38235294117647056
0.0,0.8604651162790697,25,72,0.313953488372093
0.0,0.9090909090909091,11,47,0.0
0.0,0.9411764705882353,1,38,1.0
0.0,0.8343949044585988,27,62,0.28662420382165604
0.0,0.7026022304832714,80,44,0.6431226765799256
0.0,0.6703296703296703,91,99,0.6263736263736264
0.0,0.6236162361623616,102,51,1.0
0.0,0.6776556776556777,88,40,0.6227106227106227
0.0,0.6446886446886447,97,52,0.6190476190476191
0.0,0.4343065693430657,155,32,0.781021897810219
0.0,0.652014652014652,95,47,0.5970695970695971
